,id,max_bell,avge,median,bellwether
0,1,7,5.43,0.65,jchassis.csv
1,9,2,1.5,0.38,emftriple.csv
2,12,10,7.2,0.545,empyrean.csv
3,26,4,3.5,0.27,cme.csv
4,31,18,15.26,0.36,fluidium.csv
5,51,17,14.06,0.46,emisview.csv
