,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.42,0.38,0.04,0.75,0.56,1.0,0.04,0.0,0.13,0.14,0.0,0.0
fontforge.csv,0.93,0.9,0.93,1.0,1.0,0.77,1.0,0.75,0.83,1.0,1.0,0.88,0.86
gmerlin.csv,0.0,0.94,0.83,1.0,0.0,0.86,1.0,0.0,0.94,0.0,0.0,0.66,0.68
hatari.csv,0.61,0.77,0.69,0.76,0.94,0.71,1.0,0.92,0.94,0.9,1.0,0.38,0.49
jcl.csv,0.9,0.55,0.72,0.6,0.84,0.61,1.0,0.71,0.56,0.74,0.5,0.59,0.54
ltp.csv,0.22,0.71,0.86,0.88,0.76,0.71,0.0,0.96,0.56,0.59,0.71,0.28,0.41
net-snmp.csv,0.68,0.61,0.52,0.64,0.42,0.39,1.0,0.92,0.89,0.56,0.21,0.31,0.81
opde.csv,1.0,0.45,1.0,0.48,0.59,0.5,1.0,0.92,0.72,0.0,0.57,0.62,0.89
powerfolder-.csv,0.71,0.74,0.62,0.84,0.38,0.33,1.0,0.38,1.0,0.44,0.64,0.69,0.7
qlc.csv,0.0,0.87,0.0,0.72,0.18,0.55,1.0,0.0,0.78,0.62,0.57,0.0,0.46
tcl.csv,0.51,0.84,0.69,0.88,0.61,0.68,0.0,0.0,0.61,0.74,0.0,0.22,0.54
wxstudio.csv,0.63,0.29,0.48,0.4,0.42,0.44,1.0,0.71,0.11,0.67,0.07,0.53,0.73
