,id,count_recall,count_precision,count_pf,cdom_score,bellwether
48,2,1,2,2,1,mclient-mume.csv
44,3,1,4,9,9,jam-daq.csv
43,4,2,3,13,12,foursquared.csv
50,5,3,7,13,13,matrex.csv
19,6,1,7,13,19,haggle.csv
15,7,1,8,10,11,freedom-erp.csv
24,8,1,4,7,7,forester-atv.csv
22,10,1,0,1,0,atunes.csv
14,11,2,2,4,5,fluent-nhibernate.csv
49,13,2,2,7,9,jaql.csv
51,14,1,2,3,4,amanda.csv
17,16,5,10,11,17,zxing.csv
21,17,2,1,2,2,kmatplot.csv
12,18,3,1,9,11,gamestone.csv
52,22,2,2,1,1,jajuk.csv
42,23,2,3,13,12,wishmaster.csv
41,24,3,2,5,8,xuggle.csv
53,25,2,1,8,9,ondex.csv
23,26,3,7,18,19,customsagetv.csv
13,27,1,7,13,14,xqilla.csv
20,28,1,9,16,15,etics.csv
16,29,2,9,17,16,officefloor.csv
33,30,5,8,12,17,modellus.csv
29,31,0,2,6,5,lockss.csv
4,32,1,0,2,1,raygina.csv
11,33,4,9,11,14,playerstage.csv
10,34,7,10,13,15,sepgsql.csv
5,35,3,7,19,19,jcae.csv
28,36,1,5,12,11,quark.csv
34,37,2,1,5,6,qtwin.csv
27,38,4,9,15,17,turbotrader-bos.csv
35,39,5,7,11,19,ktc.csv
46,40,1,1,0,2,ns-3-dev-def-routing.csv
39,41,5,4,2,5,sigil.csv
26,43,3,5,9,13,openwbem.csv
25,44,4,2,4,8,glas.csv
18,45,1,2,6,6,quarkplusplus.csv
38,46,2,4,3,5,wxlua.csv
47,47,1,10,20,19,mecat.csv
40,48,2,3,10,12,retromenu.csv
45,49,2,1,1,1,ambulant.csv
2,50,4,4,8,10,olsrd.csv
7,51,5,2,3,8,unimrcp.csv
36,52,1,5,8,9,log4net.csv
32,53,5,8,6,14,algebsql.csv
31,54,2,7,10,13,moving-pictures.csv
37,55,1,1,2,1,silvertree.csv
6,56,2,3,11,14,theresa.csv
3,57,3,9,9,14,gwanted.csv
8,58,1,6,12,11,emulemorph.csv
1,59,1,7,17,16,alembik.csv
9,60,1,7,18,18,nassp.csv
0,61,2,2,3,7,skia.csv
30,62,3,4,16,19,m-a-d-n-e-s-s.csv
