,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.0,0.88,0.68,0.69,0.78,0.73,0.34
fw4spl.csv,0.5,0.42,0.19,0.56,0.33,0.3,0.02
kftpgrabber.csv,0.5,0.12,0.23,0.54,0.06,0.87,0.47
kolmafia.csv,0.75,1.0,0.75,0.96,1.0,1.0,0.7
lazarus-ccr.csv,0.83,0.3,0.63,0.44,0.78,0.5,0.72
mia.csv,0.38,0.18,0.51,0.17,0.5,0.1,0.43
plee-the-bear.csv,0.29,0.79,0.43,0.73,0.39,0.53,0.62
