,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.32,0.11,0.06,0.42,0.31,0.59,0.04,0.0,0.45,0.42,0.0,0.19,0.34
bdbbasic.csv,0.43,0.14,0.03,0.52,0.36,0.51,0.08,0.15,0.64,0.81,0.37,0.43,0.54
echongl.csv,0.42,0.26,0.08,0.59,0.39,0.44,0.28,0.52,0.57,0.87,0.43,0.37,0.6
etherboot.csv,0.22,0.55,0.0,0.09,0.39,0.0,0.08,0.76,0.26,0.0,0.44,0.33,0.18
freebios.csv,0.29,0.21,0.06,0.56,0.32,0.16,0.78,0.49,0.28,0.61,0.41,0.22,0.58
gebr.csv,0.48,0.25,0.07,0.69,0.42,0.48,0.66,0.81,0.44,0.83,0.46,0.31,0.85
gnukeda.csv,0.49,0.26,0.06,0.76,0.42,0.52,0.32,0.62,0.24,0.61,0.38,0.23,0.85
google-gears.csv,0.54,0.25,0.09,0.56,0.45,0.5,0.4,0.72,0.49,0.81,0.44,0.36,0.79
jnode.csv,0.11,0.22,0.24,0.44,0.0,0.0,0.21,0.47,0.21,0.19,0.07,0.09,0.2
openmeetings.csv,0.57,0.63,0.16,0.18,0.41,0.52,0.08,0.56,0.43,0.58,0.51,0.24,0.32
pgui.csv,0.36,0.25,0.0,0.69,0.4,0.48,0.26,0.79,0.44,0.09,0.6,0.31,0.73
tradelink.csv,0.11,0.19,0.09,0.52,0.33,0.47,0.55,0.57,0.54,0.7,0.4,0.45,0.28
wxcrp.csv,0.57,0.24,0.08,0.61,0.42,0.49,0.25,0.84,0.42,0.53,0.34,0.16,0.7
