,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.23,0.22,0.59,0.09,0.26,0.16,0.02,0.0,0.1,0.37,0.01,0.0,0.11
bdbbasic.csv,0.6,0.7,0.47,0.38,0.38,0.51,0.02,0.0,0.22,0.89,0.05,0.22,0.22
echongl.csv,0.4,0.08,0.91,0.5,0.74,0.41,0.24,0.0,0.39,0.13,0.43,0.32,0.41
etherboot.csv,0.03,0.11,0.0,0.09,0.38,0.0,0.02,0.97,0.16,0.0,1.0,1.0,0.11
freebios.csv,0.68,0.16,0.39,0.62,0.49,0.24,0.22,0.79,0.61,0.18,0.34,0.68,0.76
gebr.csv,0.88,1.0,0.88,0.97,0.8,0.94,1.0,0.13,1.0,1.0,0.83,0.94,0.95
gnukeda.csv,0.87,0.63,0.49,0.25,0.82,0.44,0.49,0.32,0.2,0.79,0.31,0.55,0.92
google-gears.csv,0.49,0.72,0.41,0.16,0.66,0.94,0.86,0.39,0.76,0.95,0.88,0.35,0.41
jnode.csv,0.04,0.32,0.18,0.31,0.1,0.05,0.06,0.53,0.14,0.11,0.1,0.04,0.24
openmeetings.csv,0.16,0.18,0.26,0.03,0.46,0.25,0.0,0.0,0.06,0.63,0.31,0.14,0.14
pgui.csv,0.57,0.94,0.0,0.38,0.8,0.75,0.08,0.37,0.76,0.18,0.3,0.87,0.3
tradelink.csv,0.07,0.75,0.79,0.31,0.56,0.26,0.45,0.21,0.16,0.16,0.6,0.34,0.16
wxcrp.csv,0.23,0.93,0.96,0.78,1.0,0.51,0.27,1.0,0.22,0.53,0.39,0.34,0.59
