,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,1.0,0.9,0.96,0.94,0.64,0.84,1.0,0.9,0.81,0.82,0.93,0.96,0.71
codepurge.csv,1.0,0.62,0.81,0.83,0.94,0.66,0.7,0.71,0.49,0.76,0.37,0.69,0.47
crisscross.csv,1.0,0.28,0.89,1.0,0.95,0.84,1.0,0.92,0.77,0.92,0.54,0.96,1.0
elvishrayrenderer.csv,0.92,0.68,0.68,1.02,0.93,0.85,1.0,0.82,0.62,0.91,0.98,0.8,0.38
gwanted.csv,0.92,0.51,0.73,0.81,0.91,0.73,0.35,0.54,0.65,0.4,0.69,0.51,0.71
jitterbit.csv,1.0,0.69,0.66,0.68,0.98,0.67,0.72,0.37,0.72,0.55,0.73,0.66,0.57
ldview.csv,0.5,0.67,0.65,0.79,0.75,0.47,0.89,0.57,0.47,0.71,0.81,0.46,0.54
libopenmetaverse.csv,1.0,1.0,0.97,0.54,1.0,0.8,0.67,0.93,0.95,1.0,0.85,0.96,0.78
mb-unit.csv,1.0,0.7,0.51,0.75,0.83,0.67,0.98,0.64,0.75,0.66,0.8,0.55,0.84
mvdsv.csv,0.82,1.0,0.94,0.82,0.86,0.71,0.03,0.85,0.97,0.91,1.0,0.93,0.91
nova.csv,0.26,0.68,0.72,0.76,0.73,0.83,1.17,0.86,0.76,0.63,0.83,0.74,0.72
olex2.csv,0.51,0.58,0.62,0.78,0.77,1.0,0.46,0.64,0.52,0.49,0.86,0.35,0.73
tolven.csv,0.5,0.63,0.63,0.74,0.87,0.67,0.53,0.64,0.31,0.62,0.71,0.46,0.7
