,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,17.0,17.0,0.0,0.0,0.0,0.0,28.0,17.0,15.0,21.0,24.0,4.0,0.0
codepurge.csv,56.0,14.0,2.0,0.0,0.0,1.0,11.0,0.0,4.0,5.0,5.0,0.0,0.0
crisscross.csv,17.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,14.0,22.0,8.0,4.0,0.0
elvishrayrenderer.csv,1.0,10.0,0.0,1.0,0.0,0.0,28.0,0.0,3.0,19.0,26.0,2.0,2.0
gwanted.csv,1.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,5.0,3.0,0.0,5.0
jitterbit.csv,56.0,15.0,0.0,0.0,3.0,0.0,38.0,0.0,13.0,15.0,23.0,2.0,0.0
ldview.csv,3.0,6.0,0.0,1.0,0.0,0.0,21.0,0.0,9.0,5.0,13.0,2.0,0.0
libopenmetaverse.csv,17.0,16.0,0.0,0.0,0.0,0.0,9.0,5.0,14.0,23.0,20.0,4.0,0.0
mb-unit.csv,56.0,3.0,0.0,1.0,1.0,1.0,28.0,9.0,8.0,16.0,11.0,0.0,0.0
mvdsv.csv,2.0,120.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,168.0,0.0,1.0
nova.csv,1.0,16.0,0.0,0.0,0.0,2.0,68.0,2.0,22.0,4.0,17.0,4.0,0.0
olex2.csv,4.0,2.0,0.0,1.0,0.0,57.0,18.0,4.0,7.0,5.0,23.0,0.0,2.0
tolven.csv,6.0,1.0,0.0,0.0,0.0,2.0,24.0,2.0,0.0,3.0,19.0,1.0,0.0
