,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.41,0.33,0.52,0.42,0.45,0.6,0.41,0.63,0.73,0.49,0.86
azureus.csv,0.65,0.68,0.69,0.69,0.56,0.67,0.7,0.64,0.67,0.82,0.92
forester-atv.csv,0.0,0.57,0.0,0.86,0.83,0.0,0.9,0.89,0.0,0.93,0.88
gabel.csv,0.0,0.0,0.0,0.86,0.88,0.5,0.75,0.83,0.0,0.95,0.0
google-collections.csv,0.39,0.36,0.33,0.4,0.46,0.37,0.38,0.32,0.43,0.39,0.39
javaprofiler.csv,0.5,0.42,0.52,0.44,0.49,0.62,0.5,0.33,0.8,0.45,0.48
mycila.csv,0.8,0.83,0.53,0.64,0.88,0.9,0.97,0.8,0.9,0.88,0.96
neodatis-odb.csv,0.86,0.43,0.61,0.74,0.62,0.9,0.68,0.62,0.62,0.69,0.6
pokenetonline.csv,0.38,0.37,0.54,0.51,0.51,0.58,0.36,0.38,0.5,0.43,0.93
rcp-company-uibindings.csv,0.36,0.34,0.34,0.4,0.43,0.37,0.37,0.34,0.43,0.4,0.37
servicestack.csv,0.92,0.5,0.9,0.69,0.61,0.86,0.59,0.76,0.75,0.61,0.89
