,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.58,0.62,1.0,0.52,0.82,0.33,0.74,0.33,0.46,0.51,0.24
azureus.csv,0.29,0.39,0.35,0.31,0.75,0.12,0.97,0.34,0.15,0.25,0.13
forester-atv.csv,0.0,0.9,0.04,0.13,0.0,0.0,0.05,0.18,0.07,0.06,0.11
gabel.csv,0.0,0.0,0.0,0.04,1.0,0.0,0.05,0.1,0.0,0.1,0.0
google-collections.csv,0.99,0.0,0.13,0.0,0.0,0.09,0.0,0.4,0.27,0.0,0.24
javaprofiler.csv,0.53,0.66,0.44,0.5,0.53,0.33,0.6,0.57,0.28,0.57,1.0
mycila.csv,0.23,0.05,0.58,0.33,0.29,1.0,0.25,0.32,0.07,0.31,0.19
neodatis-odb.csv,0.0,0.72,0.52,0.99,0.59,0.12,0.45,0.38,0.65,0.42,0.6
pokenetonline.csv,0.58,0.61,0.51,0.45,0.41,0.34,0.54,1.0,0.67,0.6,0.18
rcp-company-uibindings.csv,0.75,0.0,0.13,0.13,0.36,0.27,0.38,0.4,0.26,1.0,0.58
servicestack.csv,0.19,0.57,0.25,0.36,0.64,0.24,0.48,0.31,0.95,0.34,0.19
