,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.6,0.88,1.0,0.54,0.88,0.3,0.77,0.28,0.41,0.47,0.2
azureus.csv,0.25,0.35,0.31,0.27,0.75,0.1,0.96,0.3,0.12,0.21,0.11
forester-atv.csv,0.0,0.88,0.03,0.11,0.0,0.0,0.04,0.15,0.06,0.05,0.09
gabel.csv,0.0,0.0,0.0,0.03,1.0,0.0,0.04,0.08,0.0,0.08,0.0
google-collections.csv,0.99,0.92,1.0,1.0,1.0,1.0,0.98,0.98,1.0,1.0,1.0
javaprofiler.csv,0.54,0.77,0.41,0.54,0.62,0.3,0.64,0.88,0.24,0.59,1.0
mycila.csv,0.19,0.04,0.59,0.3,0.25,1.0,0.21,0.28,0.06,0.29,0.16
neodatis-odb.csv,0.32,0.92,0.52,1.0,0.62,0.1,0.41,0.33,0.76,0.46,0.6
pokenetonline.csv,0.61,0.65,0.48,0.41,0.38,0.3,0.88,1.0,0.65,0.56,0.15
rcp-company-uibindings.csv,0.86,0.96,0.93,0.92,1.0,1.0,1.0,0.97,0.76,1.0,0.87
servicestack.csv,0.16,0.54,0.21,0.32,0.62,0.2,0.45,0.27,0.94,0.29,0.16
