,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.5,0.72,0.0,0.53,0.36,0.4,0.35,0.08,0.17,0.2,0.17
azureus.csv,0.0,0.25,0.21,0.23,0.23,0.05,0.0,0.16,0.02,0.0,0.14
forester-atv.csv,0.0,0.0,0.0,0.04,0.07,0.0,0.05,0.0,0.0,0.1,0.03
gabel.csv,0.0,0.02,0.0,0.09,0.0,0.05,0.01,0.04,0.0,0.0,0.0
google-collections.csv,0.0,1.0,0.97,1.0,1.0,0.98,1.0,0.88,0.93,1.0,0.94
javaprofiler.csv,0.5,0.57,0.39,0.61,0.67,0.43,0.53,0.76,0.24,0.5,0.0
mycila.csv,0.0,0.12,0.45,0.44,0.24,0.0,0.14,0.32,0.2,0.6,0.42
neodatis-odb.csv,1.0,0.62,0.48,0.03,0.52,0.21,0.29,0.16,0.59,0.7,0.42
pokenetonline.csv,0.5,0.52,0.36,0.31,0.37,0.21,0.79,0.0,0.24,0.2,0.08
rcp-company-uibindings.csv,0.5,1.0,0.97,0.97,0.9,0.93,0.89,0.88,0.93,0.0,0.75
servicestack.csv,0.0,0.25,0.12,0.2,0.25,0.12,0.33,0.2,0.0,0.1,0.17
