,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,cortex-vfx.csv,wikipediardware.csv
cortex-vfx.csv,0.69,0.84,0.77,0.67,0.49,0.73,0.73,0.03,0.69
empserver.csv,0.84,0.86,0.72,0.8,0.14,0.86,0.7,0.69,0.74
enlightenment.csv,0.58,0.93,0.63,0.03,0.7,0.55,0.78,0.63,0.65
ildjit.csv,0.97,0.0,0.95,0.99,0.92,0.97,0.99,0.91,1.0
jfreereport.csv,0.92,0.72,0.09,0.81,0.72,0.86,0.66,0.86,0.99
lufa-lib.csv,0.66,0.79,0.67,0.65,0.82,0.7,0.07,0.67,0.77
pcsx2.csv,0.46,0.63,0.79,0.82,1.0,0.03,1.0,0.81,0.93
psycle.csv,0.03,0.82,0.95,0.58,0.7,0.78,0.62,0.91,0.7
wikipediardware.csv,0.5,0.87,0.85,0.72,0.78,0.7,0.89,0.85,0.03
