,esmf.csv,pentahoanalysistool.csv,turbotrader-bos.csv,personalaccess.csv
esmf.csv,0.33,0.23,0.3,0.82
pentahoanalysistool.csv,0.14,0.55,0.38,0.92
personalaccess.csv,0.52,0.5,0.51,0.94
turbotrader-bos.csv,0.26,0.4,0.57,0.91
