,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.85,0.99,0.79,0.43,0.38,0.6
extprosys.csv,0.87,0.51,0.38,0.86,0.92,0.36
fluidium.csv,0.51,0.45,0.27,0.9,0.38,0.36
haphazard.csv,0.08,0.44,0.02,0.52,1.0,0.24
qcad2.csv,0.08,0.46,0.94,0.48,0.23,0.48
silvertree.csv,0.53,0.24,0.31,0.19,0.15,1.0
