,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.83,0.28,0.39,0.35,0.23,0.59,0.75,0.31,0.9,0.82,0.61
biopax.csv,0.83,0.62,1.0,0.73,0.77,0.76,0.92,0.93,0.0,1.0,0.9
crux-framework.csv,0.26,0.45,0.08,0.08,0.9,0.27,0.26,0.1,0.15,0.1,0.19
kml.csv,0.86,1.0,0.97,0.73,0.15,0.81,0.92,0.9,1.0,0.99,1.0
les-indemodables.csv,0.43,0.45,0.61,0.23,0.41,0.19,0.31,0.56,0.25,0.77,0.26
metacosm.csv,0.34,0.2,0.6,0.27,0.18,0.14,0.49,0.54,0.05,0.26,0.23
moviesandbox.csv,0.4,0.05,0.3,0.5,0.15,0.51,0.78,0.44,0.25,0.58,0.55
sigil.csv,0.51,0.05,0.35,0.19,0.0,0.19,0.58,0.23,0.05,0.65,0.58
unflobtactical.csv,0.6,0.15,0.71,0.23,0.03,0.46,0.98,0.56,0.55,0.81,0.55
xtreemfs.csv,0.83,0.88,0.46,0.58,0.49,0.54,0.82,0.23,0.15,0.65,0.52
yale.csv,0.46,0.45,0.27,0.88,0.97,0.68,0.65,0.43,0.5,0.3,0.26
