,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.83,0.37,0.57,0.43,0.5,0.59,0.77,0.34,0.9,0.82,0.64
biopax.csv,0.83,0.65,1.0,0.73,0.78,0.76,0.92,0.93,0.21,1.0,0.92
crux-framework.csv,0.84,0.8,0.92,0.92,0.95,0.82,0.96,0.82,0.94,0.1,0.95
kml.csv,0.86,1.0,0.97,0.73,0.29,0.81,0.92,0.9,1.0,0.99,1.0
les-indemodables.csv,0.55,0.62,0.65,0.44,0.45,0.45,0.43,0.88,0.66,0.77,0.51
metacosm.csv,0.53,0.62,0.65,0.56,0.48,0.54,0.55,0.57,0.44,1.03,0.37
moviesandbox.csv,0.5,0.71,0.8,0.55,0.82,0.54,0.79,0.48,0.34,0.67,0.61
sigil.csv,0.55,0.77,0.62,0.37,0.94,0.26,0.61,0.39,0.3,0.65,0.61
unflobtactical.csv,0.6,0.54,0.8,0.37,0.94,0.46,0.98,0.59,0.58,0.81,0.68
xtreemfs.csv,0.83,0.88,0.57,0.59,0.51,0.54,0.82,0.27,0.41,0.65,0.58
yale.csv,0.82,0.72,0.56,0.93,0.97,0.79,0.86,0.83,0.76,1.04,0.68
