,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.41,0.59,0.43,0.62
hibernate.csv,0.94,0.7,0.94,0.74
lamp.csv,0.93,0.83,0.67,0.95
thout.csv,0.94,0.78,0.94,0.68
