,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.71,0.61,1.0,0.51
hibernate.csv,0.21,0.43,0.2,0.96
lamp.csv,1.0,0.07,0.07,0.08
thout.csv,0.29,0.91,0.27,0.38
