,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.15,0.21,1.0,0.27
hibernate.csv,0.09,0.43,0.53,0.99
lamp.csv,1.0,0.5,1.0,0.59
thout.csv,0.08,1.0,0.67,0.33
