,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.59,0.5,0.29,0.41,0.63,0.49,0.18,0.41
emite.csv,0.39,0.37,0.27,0.43,0.34,0.51,0.21,0.66
irrlicht.csv,0.61,0.43,0.2,0.36,0.75,0.52,0.16,0.61
migen.csv,0.71,0.45,0.2,0.59,0.48,0.58,0.25,0.46
motu.csv,0.61,0.46,0.19,0.5,0.62,0.54,0.25,0.57
openxava.csv,0.51,0.23,0.36,0.15,0.45,0.56,0.13,0.41
truevision.csv,0.61,0.5,0.15,0.32,0.73,0.69,0.23,0.54
zoolib.csv,0.52,0.54,0.16,0.44,0.59,0.49,0.34,0.48
