,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.3,0.97,0.2,0.44,0.36,0.08,0.15,0.84,0.27,0.21,0.48,0.88,0.21,0.33
chrysalis.csv,0.37,0.55,0.0,0.35,0.39,0.0,0.42,0.87,0.14,0.21,0.56,0.19,0.22,0.96
etics.csv,0.96,0.45,0.13,0.21,0.43,0.1,0.32,0.59,0.36,0.32,0.62,0.02,0.31,0.36
flexpay.csv,0.11,0.53,0.16,0.2,0.38,0.1,0.29,0.83,0.93,0.38,0.35,0.0,0.24,0.21
ifmo-game-1.csv,0.0,0.13,0.19,0.0,0.0,1.0,0.0,0.09,0.16,0.0,0.23,0.52,0.0,0.0
jcl.csv,0.0,0.04,0.13,0.41,0.27,0.0,0.0,0.24,0.1,0.0,0.13,0.0,0.92,0.05
linuxsh.csv,0.24,0.45,0.91,0.18,0.37,0.15,0.3,0.8,0.26,0.39,0.53,0.6,0.09,0.29
mvdsv.csv,0.14,0.0,0.0,0.09,0.0,0.0,1.0,0.05,0.0,0.0,0.24,0.0,0.26,0.0
openmeetings.csv,0.48,0.22,0.42,0.98,0.3,0.23,0.6,0.39,0.28,0.13,0.56,0.44,0.31,0.36
plato.csv,0.26,0.58,0.0,0.17,0.36,0.16,0.0,1.0,0.26,0.39,0.42,0.35,0.14,0.21
projecteqemu.csv,0.5,0.37,0.21,0.38,0.22,0.22,0.24,0.41,0.21,0.07,0.97,0.17,0.18,0.15
scite-ru.csv,0.38,0.64,0.48,0.28,0.86,0.17,0.15,0.62,0.28,0.18,0.68,0.83,0.22,0.28
uclmda.csv,0.13,0.32,0.3,0.09,0.23,0.0,0.0,0.21,0.25,0.0,0.14,1.0,0.0,0.06
vrjuggler.csv,0.27,0.28,0.14,0.33,0.15,0.27,0.42,0.25,0.17,0.91,0.48,0.09,0.27,0.0
