,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.49,0.95,0.43,0.63,0.51,0.31,0.53,0.66,0.53,0.34,0.52,0.62,0.57,0.65
chrysalis.csv,0.47,0.55,0.0,0.72,0.47,0.0,0.7,0.59,0.13,0.22,0.56,0.12,0.09,0.94
etics.csv,1.0,0.42,0.11,0.49,0.6,0.32,0.69,0.48,0.57,0.42,0.63,0.01,0.68,0.6
flexpay.csv,0.17,0.45,0.21,0.34,0.28,0.41,0.85,0.38,0.9,0.59,0.37,0.0,0.52,0.32
ifmo-game-1.csv,0.0,0.1,0.21,0.0,0.0,1.0,0.0,0.06,0.13,0.0,0.17,0.41,0.0,0.0
jcl.csv,0.0,0.02,0.11,0.32,0.33,0.0,0.0,0.17,0.07,0.0,0.1,0.0,0.88,0.05
linuxsh.csv,0.29,0.41,0.92,0.42,0.23,0.55,0.86,0.37,0.49,0.57,0.5,0.48,0.17,0.58
mvdsv.csv,0.1,0.0,0.0,0.06,0.0,0.0,1.0,0.02,0.0,0.0,0.17,0.0,0.47,0.0
openmeetings.csv,0.43,0.17,0.5,0.96,0.28,0.47,0.97,0.29,0.39,0.14,0.51,0.33,0.59,0.46
plato.csv,0.39,0.51,0.0,0.3,0.51,0.5,0.0,1.0,0.52,0.45,0.45,0.23,0.38,0.44
projecteqemu.csv,0.51,0.29,0.21,0.46,0.17,0.47,0.66,0.3,0.31,0.07,0.97,0.11,0.5,0.18
scite-ru.csv,0.0,0.59,0.67,0.64,0.9,0.61,0.55,0.5,0.42,0.32,0.72,0.0,0.09,0.58
uclmda.csv,0.1,0.29,0.48,0.17,0.28,0.0,0.0,0.15,0.41,0.0,0.1,1.0,0.0,0.05
vrjuggler.csv,0.18,0.24,0.21,0.46,0.17,0.34,0.7,0.17,0.15,0.95,0.49,0.06,0.47,0.0
