,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.54,0.92,0.44,0.56,0.42,0.48,0.59,0.5,0.36,0.71
gamestone.csv,0.89,0.53,0.94,0.63,0.64,0.67,0.89,0.6,0.87,0.86
gbif-providertoolkit.csv,0.58,0.92,0.76,0.83,0.57,0.75,0.45,0.62,0.79,0.51
heekscad.csv,0.37,0.64,0.45,0.47,0.39,0.39,0.48,0.44,0.38,0.46
igarden.csv,0.47,0.73,0.52,0.49,0.44,0.5,0.52,0.65,0.37,0.52
levent.csv,0.53,0.5,0.0,0.0,0.37,0.44,0.57,0.0,0.0,0.0
owlapi.csv,0.7,0.91,0.83,0.94,0.45,0.45,0.44,0.53,0.48,0.68
pnotepad.csv,0.39,0.55,0.36,0.31,0.35,0.41,0.4,0.52,0.34,0.4
quark.csv,0.55,0.67,0.8,0.8,0.88,0.0,0.0,0.86,0.52,0.67
xcsoar.csv,0.37,0.8,0.4,0.42,0.41,0.48,0.53,0.58,0.34,0.75
