,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.69,0.12,0.77,0.52,0.79,0.41,0.58,0.56,1.0,0.4
gamestone.csv,0.09,0.88,0.12,0.35,0.29,0.0,0.08,0.4,0.08,0.12
gbif-providertoolkit.csv,0.74,0.0,0.36,0.06,0.64,0.41,0.84,0.64,0.15,0.75
heekscad.csv,0.74,0.5,0.55,0.52,0.71,0.45,0.55,0.6,0.92,0.65
igarden.csv,0.57,0.38,0.5,0.65,0.64,0.59,0.53,0.4,1.0,0.62
levent.csv,0.56,0.12,0.0,0.0,0.79,0.71,0.47,0.0,0.0,0.0
owlapi.csv,0.52,0.0,0.32,0.19,0.71,0.65,0.82,0.84,0.85,0.54
pnotepad.csv,0.65,0.88,0.89,1.0,0.93,0.67,0.68,0.6,1.0,0.85
quark.csv,0.32,0.12,0.32,0.1,0.0,0.0,0.0,0.08,0.85,0.06
xcsoar.csv,0.65,0.25,0.66,0.58,0.71,0.43,0.39,0.4,1.0,0.17
