,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.67,0.9,0.56,0.61,0.65,0.63,0.49,0.52,0.92,0.64
gamestone.csv,0.91,0.2,0.88,0.73,0.8,1.01,0.92,0.67,0.96,0.88
gbif-providertoolkit.csv,0.79,1.11,0.78,0.94,0.48,0.62,0.88,0.48,0.91,0.74
heekscad.csv,0.4,0.52,0.5,0.59,0.51,0.61,0.58,0.56,0.64,0.53
igarden.csv,0.49,0.67,0.59,0.5,0.6,0.46,0.62,0.69,0.58,0.48
levent.csv,0.51,0.88,1.0,1.0,0.68,0.45,0.65,1.0,1.0,1.0
owlapi.csv,0.8,1.02,0.76,0.82,0.7,0.56,0.86,0.29,0.45,0.68
pnotepad.csv,0.4,0.44,0.71,0.93,0.93,0.65,0.58,0.88,1.0,0.18
quark.csv,0.69,0.88,0.68,0.9,1.01,1.0,1.0,0.92,0.34,0.94
xcsoar.csv,0.4,0.75,0.41,0.64,0.46,0.63,0.67,0.68,1.0,0.83
