,g-score
rectracker.csv,0.49
dynalloy.csv,0.15
mpqc.csv,0.29
thout.csv,0.37
benojt.csv,0.18
sabbu.csv,0.32
unladen-swallow.csv,0.69
powerfolder-.csv,0.58
barracudamvc.csv,0.36
nutz.csv,0.17
apolloplayer.csv,0.5
vxl.csv,0.17
fbmanager.csv,0.25
olsrd.csv,0.43
jajuk.csv,0.44
sqlpower-library.csv,0.48
heekscad.csv,0.3
zorannt.csv,0.44
emftriple.csv,0.0
gamestone.csv,0.42
jicarilla.csv,0.0
sevenupdate.csv,0.26
nuttx.csv,0.28
psrchive.csv,0.41
jvcl.csv,0.48
kdenlive.csv,0.39
hatari.csv,0.43
maidsafe-dht.csv,0.25
opde.csv,0.19
brlcad.csv,0.48
opentibia.csv,0.29
plee-the-bear.csv,0.74
xcsoar.csv,0.44
vapor.csv,0.45
reaper-ecad.csv,0.77
jmri.csv,0.27
igarden.csv,0.3
mb-unit.csv,0.21
kaffeine.csv,0.22
ossim.csv,0.29
jlinalg.csv,0.24
megasquirtavr.csv,0.39
psycle.csv,0.27
beast-mcmc.csv,0.35
ikvm.csv,0.49
bscwweasel.csv,0.49
zact.csv,0.0
zscreen.csv,0.05
sarasvati.csv,0.22
flylegacy.csv,0.34
nullc.csv,0.21
dvt.csv,0.3
retromenu.csv,0.68
jatlas.csv,0.24
liferea.csv,0.69
array4j.csv,0.15
go.csv,0.43
zealos.csv,0.61
ns-3.csv,0.17
nug.csv,0.33
critterding.csv,0.22
gotjava.csv,0.0
optalgtoolkit.csv,0.3
kwave.csv,0.0
superwaba.csv,0.75
ltp.csv,0.64
pdfedit.csv,0.4
blogentis.csv,0.6
mclient-mume.csv,0.16
firebird.csv,0.32
