,pci_20
rectracker.csv,0.44
dynalloy.csv,0.86
mpqc.csv,0.69
thout.csv,0.71
benojt.csv,0.93
sabbu.csv,0.64
unladen-swallow.csv,0.43
powerfolder-.csv,0.5
barracudamvc.csv,0.56
nutz.csv,0.94
apolloplayer.csv,0.58
vxl.csv,0.95
fbmanager.csv,0.88
olsrd.csv,0.46
jajuk.csv,0.62
sqlpower-library.csv,0.48
heekscad.csv,0.71
zorannt.csv,0.92
emftriple.csv,0.75
gamestone.csv,0.73
jicarilla.csv,0.67
sevenupdate.csv,0.73
nuttx.csv,0.78
psrchive.csv,0.92
jvcl.csv,0.58
kdenlive.csv,0.59
hatari.csv,0.56
maidsafe-dht.csv,0.83
opde.csv,0.92
brlcad.csv,0.49
opentibia.csv,0.59
plee-the-bear.csv,0.53
xcsoar.csv,0.63
vapor.csv,0.62
reaper-ecad.csv,0.5
jmri.csv,0.69
igarden.csv,0.93
mb-unit.csv,0.82
kaffeine.csv,0.78
ossim.csv,0.97
jlinalg.csv,0.64
megasquirtavr.csv,0.59
psycle.csv,0.72
beast-mcmc.csv,0.97
ikvm.csv,0.5
bscwweasel.csv,0.52
zact.csv,0.93
zscreen.csv,0.5
sarasvati.csv,0.86
flylegacy.csv,0.74
nullc.csv,0.6
dvt.csv,0.42
retromenu.csv,0.41
jatlas.csv,0.75
liferea.csv,0.42
array4j.csv,0.83
go.csv,0.5
zealos.csv,0.54
ns-3.csv,0.97
nug.csv,0.7
critterding.csv,0.83
gotjava.csv,0.68
optalgtoolkit.csv,0.6
kwave.csv,0.5
superwaba.csv,0.4
ltp.csv,0.41
pdfedit.csv,0.68
blogentis.csv,0.42
mclient-mume.csv,0.8
firebird.csv,0.72
