,f1
rectracker.csv,0.57
dynalloy.csv,0.2
mpqc.csv,0.18
thout.csv,0.39
benojt.csv,0.26
sabbu.csv,0.4
unladen-swallow.csv,0.33
powerfolder-.csv,0.52
barracudamvc.csv,0.47
nutz.csv,0.22
apolloplayer.csv,0.44
vxl.csv,0.18
fbmanager.csv,0.33
olsrd.csv,0.54
jajuk.csv,0.54
sqlpower-library.csv,0.6
heekscad.csv,0.41
zorannt.csv,0.37
emftriple.csv,0.0
gamestone.csv,0.26
jicarilla.csv,0.0
sevenupdate.csv,0.37
nuttx.csv,0.38
psrchive.csv,0.38
jvcl.csv,0.23
kdenlive.csv,0.49
hatari.csv,0.49
maidsafe-dht.csv,0.23
opde.csv,0.22
brlcad.csv,0.33
opentibia.csv,0.4
plee-the-bear.csv,0.23
xcsoar.csv,0.53
vapor.csv,0.43
reaper-ecad.csv,0.4
jmri.csv,0.33
igarden.csv,0.35
mb-unit.csv,0.31
kaffeine.csv,0.31
ossim.csv,0.16
jlinalg.csv,0.33
megasquirtavr.csv,0.3
psycle.csv,0.36
beast-mcmc.csv,0.4
ikvm.csv,0.53
bscwweasel.csv,0.29
zact.csv,0.0
zscreen.csv,0.08
sarasvati.csv,0.22
flylegacy.csv,0.44
nullc.csv,0.3
dvt.csv,0.28
retromenu.csv,0.58
jatlas.csv,0.22
liferea.csv,0.43
array4j.csv,0.18
go.csv,0.52
zealos.csv,0.51
ns-3.csv,0.23
nug.csv,0.37
critterding.csv,0.3
gotjava.csv,0.0
optalgtoolkit.csv,0.29
kwave.csv,0.0
superwaba.csv,0.63
ltp.csv,0.73
pdfedit.csv,0.46
blogentis.csv,0.42
mclient-mume.csv,0.23
firebird.csv,0.41
