,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.46,0.39,0.61,0.64,0.68,0.2,0.59,0.39,0.4,0.0,0.33,0.68,0.21,0.44
crisscross.csv,0.97,1.0,0.2,0.88,1.0,0.7,0.98,0.82,1.0,1.0,0.0,0.96,0.88,0.9
gisgraphy.csv,0.13,0.09,0.24,0.17,0.08,0.0,0.19,0.15,0.33,0.0,0.0,0.8,0.21,0.21
glelite.csv,0.8,0.66,0.74,0.83,1.0,0.99,0.97,0.94,1.0,1.0,0.0,0.58,0.66,0.96
gnome-jabber.csv,0.23,0.68,0.33,0.57,0.81,0.81,0.63,0.73,0.4,0.2,0.33,0.37,0.53,0.46
ivataopenportal.csv,0.76,1.0,0.75,0.9,0.9,0.29,0.73,0.88,1.0,0.8,0.33,1.0,0.74,0.92
mb-unit.csv,0.97,0.25,0.58,0.41,1.0,0.99,0.85,0.61,0.6,1.0,1.0,0.56,0.38,0.92
mvdsv.csv,0.02,0.34,0.0,0.05,0.03,0.01,0.07,0.03,0.0,0.0,0.0,0.03,0.13,0.02
nova.csv,0.71,0.25,0.56,0.53,0.68,0.65,0.68,0.27,0.2,0.6,1.0,0.68,0.39,0.42
olex2.csv,0.68,0.23,0.36,0.38,0.37,0.97,0.25,0.39,0.27,0.2,0.67,0.25,0.12,0.54
openwbem.csv,0.27,0.09,0.2,0.35,0.3,0.73,0.39,0.18,0.27,0.2,0.0,0.46,0.16,0.44
tencompetence.csv,0.32,0.09,0.4,0.56,0.3,0.88,0.47,0.15,0.6,0.6,1.0,0.07,0.28,0.42
xcmetadataservicestoolkit.csv,0.18,0.05,0.91,0.29,0.79,0.88,0.42,0.52,0.4,1.0,0.0,0.17,0.42,0.79
