,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.47,0.68,0.58,0.58,0.9,0.46,0.39,0.65,0.63,0.38,0.35,0.45,0.52,0.97,0.38,0.53,0.28
avisynth2.csv,0.89,0.0,0.8,0.88,0.0,0.98,0.8,0.5,0.0,0.96,0.5,0.88,0.77,0.0,0.5,0.92,0.8
bigdata.csv,0.86,0.75,0.42,0.8,0.8,0.7,0.43,0.8,0.41,0.75,0.35,0.5,0.75,0.94,0.53,0.65,0.28
dsworkbench.csv,0.44,0.75,0.67,0.75,0.75,0.98,0.92,0.96,0.93,0.97,0.8,0.97,0.0,0.8,0.5,0.97,0.94
foursquared.csv,0.87,0.9,0.75,0.93,0.5,0.99,0.75,0.88,0.0,0.98,0.0,0.75,0.75,0.92,0.86,0.85,0.0
geotools.csv,0.42,0.51,0.36,0.38,0.31,0.42,0.43,0.96,0.33,0.48,0.37,0.57,0.39,0.49,0.89,0.41,0.27
gephex.csv,0.38,0.56,0.5,0.36,0.59,0.47,0.62,0.49,0.44,0.41,0.51,0.61,0.43,0.41,0.36,0.44,0.29
jgossipforum.csv,0.5,0.54,0.42,0.88,0.94,0.84,0.8,0.95,0.44,0.97,0.62,0.92,0.41,0.46,0.96,0.97,0.48
madman.csv,0.89,0.57,0.67,0.51,0.34,0.6,0.88,0.95,0.47,0.53,0.71,0.82,0.45,0.8,0.84,0.54,0.75
pokenetonline.csv,0.37,0.49,0.38,0.4,0.32,0.42,0.4,0.41,0.37,0.36,0.35,0.38,0.36,0.4,0.35,0.39,0.29
qmmp.csv,0.42,0.54,0.41,0.52,0.33,0.46,0.56,0.96,0.38,0.42,0.46,0.41,0.44,0.55,0.5,0.41,0.41
rcp-company-uibindings.csv,0.37,0.42,0.47,0.86,0.38,0.52,0.4,0.72,0.36,0.44,0.38,0.46,0.38,0.38,0.94,0.43,0.79
simplewebservices.csv,0.41,0.47,0.49,0.36,0.4,0.44,0.42,0.46,0.45,0.46,0.47,0.46,0.42,0.41,0.44,0.53,0.28
t-2.csv,0.56,0.46,0.5,0.59,0.35,0.8,0.68,0.95,0.43,0.8,0.37,0.78,0.52,0.46,0.95,0.5,0.92
wsmt.csv,0.93,0.0,0.89,0.75,0.94,0.74,0.67,0.0,0.0,0.97,0.8,0.98,0.67,0.67,0.91,0.85,0.69
yarp0.csv,0.41,0.54,0.5,0.51,0.44,0.46,0.69,0.41,0.41,0.42,0.46,0.44,0.36,0.43,0.36,0.45,0.47
