,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.22,0.42,0.29,0.13,0.29,0.13,0.61,0.15,1.0,0.46,0.58
emono.csv,0.21,0.29,0.44,0.0,0.22,0.13,0.4,0.0,0.31,0.43,0.99
haggle.csv,0.44,0.99,0.0,0.08,0.38,0.12,0.43,0.0,0.66,0.33,0.31
hannosset.csv,0.0,0.0,0.05,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0
jas.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.16,0.86,0.05,0.13,0.09
jgossipforum.csv,0.0,0.0,0.05,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
madman.csv,0.0,0.21,0.05,0.0,0.93,0.1,0.22,0.0,0.0,0.0,0.05
mediate.csv,0.32,0.54,0.99,0.06,0.07,0.11,0.51,0.17,0.28,0.65,0.61
ngl.csv,0.41,0.58,0.56,0.11,0.35,0.18,1.0,0.22,0.38,0.33,0.43
pustefix.csv,0.9,0.23,0.32,0.08,0.38,0.0,0.47,0.06,0.24,0.2,0.25
synecdoche.csv,0.38,0.48,0.39,0.06,0.17,0.21,0.44,0.12,0.52,1.0,0.57
