,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.32,0.34,0.24,0.79,0.61,0.5,0.6,0.6,1.0,0.52,0.51
emono.csv,0.29,0.23,0.36,0.0,0.54,0.37,0.37,0.0,0.24,0.5,0.99
haggle.csv,0.64,1.0,0.0,0.24,0.54,0.37,0.38,0.0,0.63,0.32,0.23
hannosset.csv,0.0,0.0,0.04,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0
jas.csv,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.79,0.02,0.09,0.06
jgossipforum.csv,0.0,0.0,0.04,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
madman.csv,0.0,0.15,0.04,0.0,0.9,0.2,0.16,0.0,0.0,0.0,0.02
mediate.csv,0.34,0.48,0.99,0.44,0.14,0.36,0.48,0.73,0.25,0.73,0.52
ngl.csv,0.54,0.5,0.53,0.9,0.71,0.52,0.99,0.64,0.34,0.28,0.35
pustefix.csv,0.86,0.18,0.29,0.61,0.54,0.0,0.4,0.14,0.18,0.17,0.18
synecdoche.csv,0.4,0.4,0.35,0.44,0.29,0.65,0.42,0.41,0.45,1.0,0.5
