,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.53,0.2,0.27,0.25,0.43,0.52,0.38,0.46,0.0,0.49,0.43
emono.csv,0.44,0.37,0.1,0.15,0.65,0.32,0.36,0.15,0.11,0.58,0.0
haggle.csv,0.53,0.02,0.0,0.08,0.18,0.35,0.26,0.09,0.3,0.28,0.07
hannosset.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.02,0.0
jas.csv,0.0,0.0,0.07,0.0,0.18,0.09,0.1,0.0,0.0,0.0,0.05
jgossipforum.csv,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.03,0.02,0.0,0.0,0.0,0.19,0.09,0.0,0.08,0.02,0.0
mediate.csv,0.23,0.44,0.03,0.3,0.41,0.43,0.45,0.65,0.41,0.58,0.62
ngl.csv,0.37,0.24,0.5,0.35,0.41,0.36,0.0,0.28,0.3,0.14,0.38
pustefix.csv,0.0,0.24,0.43,0.32,0.18,0.12,0.14,0.23,0.11,0.16,0.12
synecdoche.csv,0.18,0.27,0.33,0.26,0.29,0.41,0.48,0.35,0.16,0.0,0.45
