,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.25,0.03,0.29,0.09,0.17,0.09,0.21,0.38,0.12,0.36,0.03
arsenal-1.csv,0.9,0.32,0.03,0.06,0.0,0.1,0.19,0.25,0.09,0.21,0.31
barracudamvc.csv,0.35,0.97,1.0,0.98,1.0,0.95,0.86,0.88,0.91,0.71,0.68
cascading.csv,0.4,0.68,0.32,0.75,0.52,0.22,0.62,0.38,0.45,0.5,0.55
emisview.csv,0.05,0.13,0.39,0.28,0.04,0.17,0.26,0.62,0.09,0.14,0.08
jitterbit.csv,0.85,1.0,0.52,0.64,0.22,0.22,0.88,0.25,0.3,0.64,0.65
jppf-project.csv,0.55,0.97,0.48,0.55,0.61,0.77,0.64,0.12,0.48,0.29,0.45
mevenide.csv,0.85,0.23,0.1,0.04,0.0,0.14,0.12,0.25,0.09,0.29,0.16
mycila.csv,0.8,0.94,0.39,0.92,0.83,0.49,0.21,0.62,0.58,0.64,0.68
ontopia.csv,0.3,0.58,0.65,0.62,0.87,0.49,0.55,0.75,0.21,0.14,0.18
trackit.csv,0.1,0.1,0.32,0.38,0.43,0.18,0.4,0.0,0.06,0.07,0.01
