,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.53,0.13,0.68,0.49,0.3,0.55,0.1,0.48,0.38,0.33,0.27
arsenal-1.csv,0.75,0.68,0.08,0.14,0.0,0.31,0.11,0.62,0.08,0.12,0.44
barracudamvc.csv,0.84,0.61,0.57,0.45,0.78,0.32,0.36,0.89,0.83,0.89,0.15
cascading.csv,0.54,0.65,0.61,0.5,0.61,0.47,0.29,0.49,0.79,0.63,0.36
emisview.csv,0.32,0.37,0.67,0.64,0.25,0.41,0.17,0.56,0.3,0.1,0.24
jitterbit.csv,0.79,0.64,0.62,0.44,0.47,0.63,0.26,0.58,0.51,0.53,0.45
jppf-project.csv,0.6,0.61,0.28,0.24,0.62,0.3,0.28,0.84,0.64,0.45,0.45
mevenide.csv,0.77,0.38,0.21,0.08,0.05,0.42,0.12,0.53,0.3,0.28,0.63
mycila.csv,0.8,0.65,0.16,0.45,0.6,0.19,0.48,0.84,0.76,0.84,0.18
ontopia.csv,0.36,0.52,0.47,0.44,0.72,0.33,0.35,0.78,0.19,0.89,0.16
trackit.csv,0.17,0.12,0.22,0.28,0.72,0.18,0.2,0.2,0.02,0.38,0.06
