,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0
fityk.csv,0.25,0.17,0.34,0.25,0.23,0.14,0.47,0.0,0.33,0.27
freenet.csv,0.82,0.77,0.02,0.67,0.83,0.63,0.62,0.86,0.44,0.6
geogebra.csv,0.05,0.09,0.43,0.12,0.8,0.55,0.09,0.32,0.22,0.0
hibernate.csv,0.33,0.41,0.38,0.25,0.4,0.25,0.26,0.14,0.0,0.6
itext.csv,0.04,0.08,0.15,0.12,0.0,0.37,0.13,0.14,0.09,0.11
k3b.csv,0.57,0.28,0.57,0.0,0.53,0.38,0.37,0.64,0.42,0.5
lamp.csv,0.0,0.02,0.04,0.08,0.0,0.04,0.07,0.05,0.04,0.05
megameknet.csv,0.21,0.16,0.57,0.58,0.73,0.54,0.0,0.32,0.45,0.52
thout.csv,0.35,0.0,0.29,0.12,0.5,0.15,0.2,0.27,0.15,0.19
