,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.93,0.96,0.99,1.0,1.0,0.0,0.99,1.0,0.96,0.99
fityk.csv,0.69,0.77,0.67,0.61,0.66,0.76,0.74,0.02,0.77,0.79
freenet.csv,0.83,0.79,0.02,0.74,0.88,0.81,0.64,0.89,0.62,0.64
geogebra.csv,0.72,0.78,0.69,0.92,0.96,0.75,0.62,0.88,0.65,0.03
hibernate.csv,0.72,0.63,0.63,0.86,0.71,0.79,0.67,0.7,0.09,0.7
itext.csv,0.86,0.69,0.76,0.72,0.06,0.45,0.54,0.87,0.75,0.5
k3b.csv,0.61,0.53,0.62,0.0,0.54,0.63,0.49,0.68,0.62,0.56
lamp.csv,0.0,0.91,0.89,0.92,0.91,1.0,0.74,0.96,0.88,0.87
megameknet.csv,0.68,0.63,0.66,0.7,0.75,0.6,0.04,0.55,0.65,0.62
thout.csv,0.79,0.14,0.75,0.91,0.75,1.01,0.77,0.91,0.79,0.72
