,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.09,0.06,0.01,0.0,0.0,1.0,0.01,0.0,0.05,0.01
fityk.csv,0.4,0.29,0.46,0.49,0.42,0.29,0.45,0.98,0.34,0.3
freenet.csv,0.49,0.54,0.99,0.57,0.43,0.47,0.68,0.41,0.57,0.64
geogebra.csv,0.34,0.27,0.49,0.11,0.37,0.49,0.44,0.21,0.43,0.98
hibernate.csv,0.4,0.53,0.52,0.2,0.44,0.29,0.42,0.37,0.93,0.57
itext.csv,0.17,0.37,0.3,0.33,0.95,0.72,0.53,0.17,0.29,0.56
k3b.csv,0.68,0.58,0.65,1.0,0.78,0.52,0.67,0.62,0.56,0.68
lamp.csv,1.0,0.11,0.13,0.11,0.11,0.0,0.3,0.06,0.15,0.17
megameknet.csv,0.4,0.44,0.6,0.57,0.59,0.67,0.97,0.57,0.53,0.62
thout.csv,0.33,0.88,0.35,0.12,0.45,0.0,0.3,0.17,0.26,0.35
