,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.79,0.0,0.37,0.91,0.8,0.99,0.86,0.93,0.78,0.92,0.75
arsenal-1.csv,0.35,0.54,0.86,0.92,0.0,0.71,0.71,0.37,0.92,0.78,0.58
barracudamvc.csv,0.4,0.36,0.33,0.31,0.39,0.42,0.4,0.4,0.43,0.36,0.57
cascading.csv,0.76,0.41,0.71,0.35,0.5,0.66,0.72,0.67,0.44,0.5,0.51
emisview.csv,0.63,0.52,0.35,0.48,0.89,0.65,0.56,0.44,0.81,0.89,0.93
jitterbit.csv,0.43,0.36,0.38,0.47,0.63,0.63,0.41,0.65,0.58,0.57,0.61
jppf-project.csv,0.59,0.35,0.59,0.44,0.5,0.47,0.48,0.41,0.54,0.74,0.63
mevenide.csv,0.36,0.88,0.75,0.67,0.0,0.81,0.75,0.54,0.9,0.88,0.72
mycila.csv,0.41,0.39,0.72,0.38,0.51,0.55,0.71,0.43,0.47,0.39,0.62
ontopia.csv,0.81,0.45,0.46,0.41,0.42,0.79,0.5,0.45,0.94,0.42,0.92
trackit.csv,0.88,0.0,0.5,0.88,0.53,0.85,0.65,0.8,0.67,0.95,0.0
