,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.5,0.75,0.13,0.23,0.04,0.36,0.59,0.41,0.1,0.14,0.0,0.15,0.66
freewrl.csv,0.0,0.0,0.0,0.24,0.0,0.74,0.0,0.0,0.21,0.05,0.45,0.0,0.0
fulguro.csv,0.2,0.6,0.0,0.51,0.15,0.55,0.0,0.33,0.24,0.12,0.46,1.0,0.0
google-web-toolkit.csv,0.54,0.62,0.13,0.48,0.07,0.53,0.58,0.39,0.23,0.21,0.45,0.12,0.66
jcache.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0
jstock.csv,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.85,0.0,0.65,0.0,0.0
mimosa.csv,0.47,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.24,0.27,0.45,1.0,0.0
miranda.csv,0.54,0.62,0.13,0.48,0.07,0.53,0.58,0.39,0.23,0.21,0.45,0.12,0.66
ns-3-dev-def-routing.csv,0.75,0.54,0.0,0.49,0.08,0.54,0.7,0.7,0.34,0.15,0.46,0.1,0.0
ossbuild.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qtractor.csv,0.77,0.5,0.0,0.55,0.0,0.6,0.0,0.0,0.24,0.26,0.45,0.12,0.0
quarkplayer.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synergyspace.csv,0.67,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.3,0.59,0.45,0.0,0.0
