,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.37,0.17,0.05,0.4,0.37,0.56,0.3,0.0,0.45,0.22,0.03
bdbbasic.csv,0.46,0.12,0.04,0.48,0.28,0.57,0.76,0.42,0.59,0.68,0.04
bibletime.csv,0.56,0.38,0.12,0.56,0.32,0.45,0.44,0.44,0.61,0.78,0.03
crux-framework.csv,0.28,0.31,0.16,0.36,0.2,0.35,0.32,0.34,0.49,0.65,0.35
etherboot.csv,0.0,0.44,0.0,0.0,0.38,0.0,0.53,0.22,0.0,0.89,0.06
gnukeda.csv,0.48,0.23,0.05,0.78,0.37,0.56,0.26,0.33,0.83,0.79,0.04
google-gears.csv,0.53,0.37,0.08,0.55,0.41,0.48,0.45,0.44,0.8,0.82,0.09
jnode.csv,0.06,0.21,0.25,0.42,0.07,0.0,0.27,0.04,0.2,0.06,0.07
openmeetings.csv,0.54,0.59,0.15,0.18,0.35,0.51,0.41,0.5,0.29,0.6,0.06
pgui.csv,0.32,0.25,0.0,0.67,0.43,0.52,0.43,0.53,0.66,0.9,0.05
wxcrp.csv,0.52,0.15,0.09,0.58,0.4,0.48,0.44,0.43,0.67,0.84,0.02
