,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.42,0.23,0.31,0.28,0.5,0.57,0.21,0.0,0.3,0.12,0.33
bdbbasic.csv,0.68,0.23,0.19,0.41,0.32,0.89,0.84,0.32,0.44,0.55,0.33
bibletime.csv,0.74,0.91,0.81,0.51,0.5,0.81,1.0,0.96,0.49,0.68,0.33
crux-framework.csv,0.32,0.5,0.19,0.31,0.14,0.59,0.47,0.51,0.36,0.52,1.0
etherboot.csv,0.0,0.36,0.0,0.0,0.45,0.0,0.42,0.13,0.0,0.95,1.0
gnukeda.csv,0.94,0.68,0.25,0.77,0.64,0.73,0.26,0.34,0.91,0.76,0.67
google-gears.csv,0.81,0.86,0.69,0.46,0.86,1.0,1.0,1.0,0.74,0.77,1.0
jnode.csv,0.03,0.36,0.81,0.36,0.05,0.0,0.21,0.02,0.12,0.03,0.33
openmeetings.csv,0.48,0.91,0.56,0.1,0.5,0.54,0.32,0.62,0.18,0.44,0.33
pgui.csv,0.42,0.95,0.0,0.67,0.91,0.89,0.84,0.64,0.56,0.98,1.0
wxcrp.csv,0.55,0.5,1.0,0.62,0.91,0.97,0.95,0.98,0.61,0.77,0.33
