,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.45,0.27,0.34,0.32,0.51,0.6,0.25,0.0,0.34,0.15,0.35
bdbbasic.csv,0.62,0.26,0.22,0.44,0.36,0.73,0.84,0.37,0.49,0.58,0.36
bibletime.csv,0.72,0.79,0.73,0.52,0.48,0.45,0.09,0.33,0.52,0.69,0.34
crux-framework.csv,0.35,0.53,0.23,0.34,0.17,0.38,0.46,0.49,0.4,0.54,0.98
etherboot.csv,0.0,0.41,0.0,0.0,0.48,0.0,0.47,0.16,0.0,0.44,0.51
gnukeda.csv,0.54,0.54,0.29,0.77,0.55,0.7,0.3,0.38,0.47,0.57,0.42
google-gears.csv,0.71,0.76,0.59,0.5,0.46,0.0,0.24,0.09,0.73,0.66,0.81
jnode.csv,0.04,0.4,0.81,0.39,0.06,0.0,0.25,0.02,0.14,0.04,0.37
openmeetings.csv,0.53,0.89,0.59,0.12,0.5,0.57,0.37,0.63,0.21,0.49,0.37
pgui.csv,0.44,0.3,0.0,0.65,0.5,0.63,0.51,0.65,0.56,0.0,0.0
wxcrp.csv,0.58,0.33,0.49,0.55,0.13,0.09,0.35,0.05,0.54,0.74,0.32
