,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.46,0.8,0.48,0.1,0.11,0.2,0.43,0.45,0.29,0.7,0.85,0.51
aubit4gl.csv,0.09,0.38,0.25,0.1,0.68,0.05,0.13,0.02,0.66,0.16,0.74,0.21
liferea.csv,0.57,0.36,0.65,0.75,0.23,0.43,0.33,0.59,0.23,0.2,0.6,0.45
moving-pictures.csv,0.52,0.53,0.63,0.35,0.54,0.39,0.62,0.12,0.26,0.48,0.73,0.62
olex2.csv,0.53,0.36,0.63,0.75,0.65,0.58,0.45,0.64,0.24,0.52,0.6,0.69
opensim4opencog.csv,0.58,0.2,0.64,0.73,0.57,0.59,0.57,0.59,0.44,0.47,0.6,0.67
plearn.csv,0.67,0.67,0.59,0.43,0.16,0.26,0.51,0.24,0.38,0.37,0.73,0.63
psrchive.csv,0.62,0.7,0.8,0.51,0.54,0.51,0.46,0.2,0.7,0.41,0.83,0.55
re2c.csv,0.38,1.0,0.5,0.42,0.43,0.36,0.61,0.41,0.71,0.3,0.0,0.55
rebecca-aiml.csv,0.5,0.63,0.68,0.61,0.63,0.56,0.59,0.58,0.82,0.68,0.74,0.63
wxcode.csv,0.48,0.37,0.4,0.5,0.54,0.59,0.36,0.37,0.23,0.56,0.96,0.35
xfce.csv,0.6,0.43,0.59,0.67,0.58,0.6,0.5,0.65,0.64,0.55,0.55,0.66
