,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.52,0.25,0.43,1.0,0.62,0.19,0.61,0.82,0.15,0.49,0.27,0.7
aubit4gl.csv,0.57,0.33,0.27,0.25,0.69,0.1,0.75,0.75,0.39,0.57,0.42,0.52
liferea.csv,0.3,0.08,0.21,0.4,0.37,0.2,0.57,0.73,0.34,0.12,0.18,0.48
moving-pictures.csv,0.4,0.15,0.22,0.36,0.62,0.19,0.61,0.86,0.92,0.37,0.26,0.56
olex2.csv,0.47,0.08,0.22,0.4,0.63,0.18,0.46,0.78,0.13,0.23,0.21,0.67
opensim4opencog.csv,0.43,0.05,0.26,0.36,0.54,0.21,0.55,0.84,0.5,0.24,0.21,0.6
plearn.csv,0.49,0.18,0.24,0.38,0.5,0.14,0.5,0.85,0.26,0.29,0.29,0.58
psrchive.csv,0.41,0.4,0.48,0.21,0.56,0.12,0.52,0.65,0.42,0.28,0.22,0.63
re2c.csv,0.38,0.86,0.15,0.26,0.64,0.08,0.51,0.74,0.4,0.11,0.0,0.46
rebecca-aiml.csv,0.41,0.14,0.2,0.26,0.58,0.15,0.51,0.82,0.71,0.29,0.13,0.51
wxcode.csv,0.39,0.13,0.26,0.38,0.54,0.22,0.5,0.83,0.19,0.31,0.35,0.78
xfce.csv,0.41,0.08,0.17,0.35,0.55,0.14,0.45,0.79,0.34,0.18,0.09,0.52
