,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.5,0.59,0.64,0.58,0.48,0.82,0.41,0.64,0.48,0.56,0.58,0.48,0.61,0.56,0.45,0.5
biodwh.csv,0.85,0.85,0.77,0.5,0.99,0.5,0.95,0.92,0.9,0.99,0.85,0.5,0.93,0.94,0.91,0.94
blue-c.csv,0.4,0.42,0.45,0.39,0.41,0.46,0.46,0.49,0.52,0.63,0.62,0.35,0.44,0.55,0.36,0.52
cities3d.csv,0.64,0.93,0.51,0.71,0.97,0.67,0.45,0.97,0.5,0.6,0.45,0.8,0.76,0.99,0.53,0.9
firebird.csv,0.62,0.5,0.57,0.82,0.7,0.53,0.57,0.69,0.47,0.55,0.67,0.41,0.57,0.65,0.52,0.76
jcache.csv,0.5,0.55,0.65,0.8,0.5,0.67,0.52,0.66,0.49,0.97,0.96,0.9,0.81,0.6,0.33,0.42
jparsec.csv,0.65,0.51,0.65,0.56,0.46,0.68,0.46,0.6,0.38,0.66,0.59,0.41,0.56,0.63,0.41,0.47
mscore.csv,0.37,0.38,0.45,0.58,0.37,0.36,0.4,0.46,0.45,0.58,0.4,0.5,0.4,0.48,0.4,0.43
nabu-library.csv,0.42,0.51,0.49,0.52,0.43,0.38,0.45,0.46,0.51,0.58,0.47,0.48,0.44,0.45,0.43,0.65
ns-3-dev-def-routing.csv,0.48,0.54,0.77,0.69,0.97,0.75,0.81,0.76,0.68,0.97,0.72,0.71,0.63,0.81,0.93,0.78
open-ms.csv,0.53,0.55,0.49,0.65,0.57,0.75,0.66,0.65,0.91,0.9,0.73,0.85,0.64,0.88,0.35,0.56
popeye-chess.csv,0.35,0.37,0.41,0.56,0.3,0.36,0.34,0.39,0.39,0.44,0.41,0.39,0.4,0.43,0.32,0.35
qgo.csv,0.43,0.43,0.48,0.45,0.33,0.83,0.38,0.52,0.58,0.41,0.48,0.36,0.45,0.53,0.36,0.5
webdriver.csv,0.46,0.58,0.57,0.55,0.58,0.58,0.52,0.56,0.6,0.79,0.53,0.36,0.59,0.72,0.5,0.75
xined.csv,0.38,0.97,0.59,0.83,0.94,0.0,0.59,0.97,0.8,0.88,0.61,0.86,0.94,0.95,0.75,0.88
yafdotnet.csv,0.39,0.47,0.52,0.71,0.46,0.69,0.5,0.47,0.54,0.69,0.6,0.54,0.5,0.59,0.44,0.43
