,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.67,0.45,0.97,0.47,0.5,0.31,0.6,0.52,0.57,0.3,0.48,0.48,0.43,0.56,0.52,0.63
biodwh.csv,0.35,0.29,0.31,0.07,0.26,0.04,0.36,0.12,0.1,0.15,0.25,0.0,0.07,0.11,0.93,0.33
blue-c.csv,0.71,0.61,0.64,0.68,0.74,0.94,0.72,0.57,0.53,0.44,0.33,0.7,0.66,0.61,0.56,0.61
cities3d.csv,0.41,0.27,0.39,0.3,0.91,0.12,0.43,0.17,0.51,0.2,0.34,0.24,0.42,0.3,0.47,0.21
firebird.csv,0.54,0.97,0.55,0.51,0.53,0.52,0.47,0.52,0.57,0.45,0.33,0.83,0.54,0.5,0.45,0.28
jcache.csv,0.54,0.47,0.47,0.23,0.43,0.42,0.51,0.47,0.52,0.29,0.28,0.24,0.2,0.47,0.64,0.98
jparsec.csv,0.42,0.62,0.5,0.09,0.42,0.53,0.68,0.49,0.52,0.36,0.98,0.33,0.51,0.49,0.55,0.76
mscore.csv,0.69,0.64,0.61,0.69,0.68,0.62,0.64,0.98,0.55,0.44,0.52,0.77,0.68,0.63,0.55,0.58
nabu-library.csv,0.64,0.42,0.53,0.76,0.54,0.71,0.49,0.61,0.5,0.99,0.43,0.4,0.65,0.6,0.4,0.37
ns-3-dev-def-routing.csv,0.62,0.45,0.36,0.5,0.19,0.16,0.4,0.29,0.3,0.16,0.32,0.34,0.99,0.33,0.1,0.36
open-ms.csv,0.52,0.57,0.56,0.38,0.53,0.29,0.54,0.49,0.28,0.34,0.4,0.43,0.47,0.94,0.17,0.35
popeye-chess.csv,0.66,0.62,0.62,0.98,0.57,0.67,0.6,0.67,0.68,0.58,0.64,0.61,0.63,0.62,0.74,0.78
qgo.csv,1.0,0.54,0.55,0.54,0.64,0.24,0.64,0.44,0.48,0.42,0.42,0.73,0.53,0.5,0.64,0.52
webdriver.csv,0.68,0.54,0.56,0.76,0.6,0.42,0.98,0.44,0.55,0.22,0.4,0.64,0.53,0.41,0.46,0.34
xined.csv,0.48,0.13,0.5,0.17,0.23,0.0,0.52,0.21,0.37,0.43,0.4,0.74,0.19,0.11,0.52,0.25
yafdotnet.csv,0.72,0.55,0.57,0.36,0.57,0.38,0.52,0.61,0.94,0.34,0.28,0.6,0.62,0.53,0.45,0.64
