,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.33,0.37,0.97,0.35,0.36,0.35,0.41,0.33,0.35,0.35
electric-core.csv,0.49,0.58,0.26,0.53,0.37,0.57,0.44,0.35,0.43,0.5
jahshakafx.csv,0.35,0.64,0.88,0.38,0.3,0.42,0.54,0.44,0.38,0.37
jython.csv,0.59,0.92,0.95,0.85,0.75,0.95,0.74,0.47,0.47,0.58
kftpgrabber.csv,0.37,0.76,0.89,0.44,0.71,0.53,0.92,0.8,0.43,0.42
mvnforum.csv,0.99,0.98,0.97,0.65,0.56,0.78,0.95,0.83,0.96,0.93
openmalaria.csv,0.35,0.57,0.9,0.43,0.29,0.36,0.43,0.31,0.35,0.33
plplot.csv,0.48,0.37,0.25,0.75,0.35,0.52,0.4,0.31,0.43,0.34
popeye-chess.csv,0.45,0.55,0.96,0.44,0.45,0.5,0.53,0.6,0.41,0.44
zxing.csv,0.48,0.9,0.8,0.8,0.85,0.7,0.67,0.0,0.45,0.37
