,recall,precision,pf,pci_20,ifa,wins
adonthell.csv,0.58,0.65,0.36,0.45,1.0,4
autofac.csv,0.49,0.75,0.37,0.49,0.0,16
avisynth2.csv,0.12,0.56,0.05,0.79,1.0,5
dsworkbench.csv,0.21,0.66,0.12,0.72,1.0,6
exist.csv,0.87,0.63,0.88,0.39,0.0,7
forester-atv.csv,0.18,0.78,0.07,0.5,0.0,17
freelords.csv,0.74,0.57,0.63,0.43,0.0,8
gephex.csv,0.69,0.55,0.61,0.49,0.0,9
google-collections.csv,1.0,0.57,1.0,0.38,1.0,0
java-gnome.csv,0.31,0.7,0.22,0.73,1.0,11
jpaul.csv,0.35,0.49,0.38,0.65,1.0,2
neodatis-odb.csv,0.29,0.54,0.3,0.65,0.0,12
octet.csv,0.45,0.67,0.29,0.57,0.0,15
personalaccess.csv,0.37,0.75,0.12,0.51,0.0,18
pokenetonline.csv,0.86,0.59,0.78,0.38,1.0,1
rcp-company-uibindings.csv,0.46,0.63,0.34,0.42,1.0,3
scenemonitor.csv,0.42,0.68,0.23,0.5,0.0,14
servicestack.csv,0.31,0.57,0.14,0.54,0.0,13
st-filteredstatistics.csv,0.68,0.58,0.54,0.45,0.0,10
