,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,mule.csv
calcubetimer.csv,0.32,0.98,0.79,,0.9,0.68
chaperon.csv,0.06,0.31,,0.0,0.22,0.16
mule.csv,0.01,0.29,0.25,0.25,0.23,
nunit.csv,0.1,0.42,0.21,0.0,,0.06
springside.csv,,0.12,0.5,0.0,0.11,0.41
swtfox.csv,0.55,,0.33,0.75,0.26,0.26
