,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.44,0.52,0.56,0.62,0.45,0.96
ingex.csv,0.15,0.4,0.07,0.4,0.93,0.33
jgnash.csv,0.21,1.0,0.43,0.34,0.56,0.15
mp-rechnungs-und-kundenverwaltung.csv,0.34,0.24,0.36,0.98,0.6,0.39
openefm.csv,0.97,0.7,0.22,0.58,0.6,0.24
yarp0.csv,0.44,0.32,0.95,0.62,0.67,0.6
