,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.52,0.83,0.98,0.07,0.43,0.68,0.55,1.0,0.38,0.54,0.57,0.32,0.8,0.7,0.77
encog-cs.csv,0.7,1.0,0.43,0.57,0.68,0.63,0.82,0.33,0.0,0.72,0.68,0.78,0.59,0.65,0.52
extprosys.csv,0.54,0.83,0.01,0.57,0.52,0.47,0.55,0.22,0.64,0.65,0.49,0.57,0.46,0.3,0.29
ibatisdb.csv,0.02,0.33,0.04,0.14,0.18,0.21,0.27,0.11,0.05,0.41,0.06,0.46,0.04,0.01,0.23
intact.csv,0.57,0.83,0.1,0.71,0.36,0.0,1.0,0.33,0.57,0.38,0.34,0.89,0.29,0.41,0.13
japano.csv,0.65,1.0,0.87,0.57,0.51,0.85,0.45,0.0,0.47,0.71,0.9,0.59,0.82,0.9,0.81
lockss.csv,0.06,0.0,0.17,0.14,0.1,0.11,0.18,0.0,0.18,0.0,0.1,0.11,0.03,0.15,0.1
ofbiz.csv,0.3,0.5,0.01,0.07,0.19,0.32,0.0,0.22,0.17,0.24,0.28,0.11,0.01,0.47,0.42
officefloor.csv,0.34,0.33,0.61,0.93,0.35,0.44,0.91,0.56,0.45,0.49,0.0,0.73,0.29,0.87,0.65
opennms.csv,0.11,0.17,0.05,0.14,0.0,0.07,0.09,0.11,0.12,0.12,0.07,0.11,0.05,0.1,0.06
rohxel.csv,0.92,1.0,0.44,0.64,0.84,0.79,0.0,0.89,0.87,0.86,0.5,0.95,0.67,0.84,0.84
roolo.csv,0.12,0.0,0.04,0.0,0.21,0.12,0.0,0.22,0.08,0.16,0.22,0.0,0.19,0.19,0.06
sevenupdate.csv,0.87,0.0,1.0,0.64,0.77,0.92,0.45,0.78,0.97,0.54,0.98,0.81,0.88,0.94,0.9
web-cat.csv,0.22,0.5,0.01,0.64,0.3,0.32,0.64,0.33,0.75,0.3,0.37,0.54,0.22,0.28,0.0
