,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.62,0.32,0.07,0.17,0.14,0.06,0.29,0.19,0.13,0.2,0.19
etherboot.csv,0.4,0.0,0.67,0.65,0.0,0.52,0.04,0.6,0.0,0.0,0.0
ffigo.csv,0.0,0.28,0.45,0.39,0.0,0.05,0.32,0.53,0.8,0.38,0.01
gebr.csv,0.66,0.59,0.27,0.49,0.53,0.68,0.66,0.05,0.27,0.13,0.3
gpac.csv,0.6,0.44,0.29,0.21,0.67,0.22,0.14,0.41,0.4,0.0,0.09
libtorrent.csv,0.05,0.59,0.64,0.52,0.64,0.68,0.74,0.7,0.59,0.46,0.56
miranda.csv,0.0,0.0,0.53,0.57,0.19,0.0,0.67,0.12,0.0,0.17,0.73
modellus.csv,0.23,0.41,0.63,0.58,0.63,0.55,0.46,0.78,0.5,0.17,0.51
mplayer-ce.csv,0.68,0.71,0.66,0.27,0.49,0.63,0.73,0.48,0.67,0.59,0.59
nicepress.csv,0.76,0.51,0.8,0.49,0.23,0.58,0.46,0.51,0.45,0.13,0.53
vapor.csv,0.0,0.58,0.0,0.09,0.0,0.0,0.72,0.27,0.15,0.0,0.0
