,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.6,0.28,0.06,0.14,0.12,0.05,0.25,0.16,0.11,0.17,0.16
etherboot.csv,0.4,0.0,0.75,0.64,0.0,0.47,0.03,0.56,0.0,0.0,0.0
ffigo.csv,0.0,0.24,0.42,0.36,0.0,0.04,0.28,0.53,0.83,0.34,0.01
gebr.csv,0.8,0.84,0.97,0.86,0.96,0.65,0.87,1.0,0.92,0.96,0.98
gpac.csv,0.8,0.44,0.25,0.18,0.66,0.19,0.12,0.38,0.54,0.98,0.95
libtorrent.csv,1.0,0.88,0.64,0.77,0.89,0.69,0.73,0.77,0.64,0.85,0.79
miranda.csv,0.0,0.0,0.5,0.59,0.16,0.0,0.77,0.1,1.0,0.14,0.78
modellus.csv,0.2,0.36,0.64,0.68,0.61,0.5,0.41,0.77,0.45,0.96,0.95
mplayer-ce.csv,0.8,0.92,0.69,0.91,0.48,0.61,0.77,0.95,0.74,0.57,0.61
nicepress.csv,1.0,0.48,0.81,0.77,0.86,0.77,0.43,0.52,0.83,0.97,0.9
vapor.csv,1.0,0.56,1.0,1.0,0.0,1.0,0.91,0.98,0.12,0.0,0.0
