,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.21,0.29,0.1,0.18,0.2,0.1,0.4,0.27,0.18,0.27,0.25
etherboot.csv,0.09,0.0,0.55,0.51,0.0,0.61,0.06,0.66,0.0,0.0,0.0
ffigo.csv,0.0,0.28,0.4,0.31,0.0,0.08,0.42,0.54,0.83,0.41,0.02
gebr.csv,0.16,0.43,0.52,0.42,0.73,0.77,0.87,0.67,0.75,0.61,0.8
gpac.csv,0.14,0.29,0.28,0.24,0.69,0.29,0.21,0.43,0.54,0.62,0.77
libtorrent.csv,0.13,0.44,0.54,0.4,0.72,0.76,0.83,0.68,0.66,0.59,0.73
miranda.csv,0.0,0.0,0.47,0.4,0.25,0.0,0.82,0.17,0.78,0.22,0.78
modellus.csv,0.09,0.39,0.53,0.39,0.67,0.65,0.58,0.78,0.58,0.62,0.8
mplayer-ce.csv,0.17,0.49,0.55,0.4,0.52,0.71,0.84,0.68,0.72,0.58,0.66
nicepress.csv,0.2,0.42,0.72,0.39,0.65,0.75,0.58,0.51,0.72,0.62,0.78
vapor.csv,0.13,0.46,0.51,0.42,0.0,0.84,0.9,0.67,0.21,0.0,0.0
