,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.55,0.62,0.54,0.15,0.44,0.24,0.52,0.0,0.38,0.0,0.35
freedom-erp.csv,0.39,0.07,0.38,0.03,0.0,0.04,0.05,0.73,0.27,0.0,0.41
haggle.csv,0.14,0.33,0.32,0.67,0.27,0.09,0.0,0.0,0.18,0.0,0.33
jchassis.csv,0.0,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.0,0.44,0.0
jmoney.csv,0.78,0.62,0.51,0.48,0.69,0.49,0.3,0.45,0.39,0.0,0.29
jsidplay2.csv,0.57,0.32,0.88,0.43,0.64,0.59,0.69,0.74,0.16,0.0,0.39
madman.csv,0.17,0.46,0.49,0.49,0.47,0.36,0.47,0.66,0.58,0.0,0.56
matrex.csv,0.65,0.46,0.51,0.15,0.66,0.02,0.83,0.5,0.24,0.0,0.05
mediate.csv,0.32,0.3,0.21,0.46,0.67,0.32,0.54,0.56,0.2,0.11,0.35
primefaces.csv,0.52,0.52,0.8,0.78,0.71,0.85,0.74,0.53,0.25,0.04,0.82
tmva.csv,0.39,0.4,0.82,0.73,0.72,0.8,0.65,0.73,0.22,0.0,0.73
