,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.3,0.72,0.67,0.76,1.0
lcfizvtop.csv,0.9,0.65,0.72,0.72,0.36
migen.csv,0.84,0.41,0.86,0.81,0.75
mvnforum.csv,0.96,0.77,0.46,0.79,0.93
plplot.csv,1.0,0.7,0.89,0.43,0.75
