,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.83,0.65,0.89,0.71,0.36
lcfizvtop.csv,0.46,0.76,0.39,0.57,0.73
migen.csv,0.21,0.68,0.17,0.19,0.27
mvnforum.csv,0.04,0.26,0.61,0.67,0.09
plplot.csv,1.0,0.74,0.78,0.62,1.0
