,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.0,3.0,2.0,8.0,2.0,5.0,7.0
aime.csv,0.0,0.0,30.0,405.0,1.0,11.0,0.0
badtrinitycore.csv,49.0,87.0,4.0,0.0,12.0,8.0,2.0
electric-core.csv,0.0,87.0,8.0,3.0,1.0,3.0,3.0
geochat.csv,1.0,0.0,1.0,405.0,0.0,10.0,0.0
olsrd.csv,2.0,2.0,1.0,3.0,2.0,14.0,10.0
uwom.csv,0.0,87.0,10.0,15.0,81.0,1.0,15.0
