,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.31,0.43,0.47,0.51,0.52,0.45,0.9
aime.csv,0.96,0.57,0.88,1.0,0.93,0.99,0.97
badtrinitycore.csv,1.0,1.0,0.85,0.58,0.73,0.51,0.87
electric-core.csv,0.74,1.0,0.68,0.7,0.55,0.56,0.9
geochat.csv,0.66,0.74,0.9,1.0,0.93,0.94,0.74
olsrd.csv,0.67,0.41,0.82,0.81,0.78,0.68,0.82
uwom.csv,0.89,1.0,0.45,0.63,1.0,0.35,0.66
