,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.37,0.63,0.21,0.53,0.41,0.0,0.22,0.14,0.64,0.3
betoffice.csv,0.89,0.5,0.45,0.77,0.89,1.0,0.53,0.83,0.87,0.84
bnetd.csv,1.0,0.91,0.9,0.74,0.28,0.6,1.0,0.17,1.0,0.91
graphmak.csv,0.0,0.22,0.44,0.63,0.48,0.5,0.64,1.0,0.13,0.48
hazelcast.csv,0.37,0.83,0.16,0.56,0.63,0.0,0.49,0.34,0.71,0.49
megasquirtavr.csv,1.0,0.91,0.14,0.7,0.65,1.0,0.78,1.0,0.87,0.7
pdfedit.csv,0.26,0.59,0.48,0.33,0.43,0.9,0.27,0.37,0.33,0.84
stajistics.csv,1.0,0.46,0.01,0.88,0.98,0.2,0.36,0.83,0.56,0.32
twostep.csv,0.21,0.65,0.49,0.58,0.72,0.2,0.71,0.54,0.18,0.75
xharbour.csv,0.05,0.76,0.53,0.49,0.33,0.0,0.76,0.46,0.18,0.59
