,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.55,0.66,0.68,0.72,0.45,0.42,0.81,0.46,0.65,0.43
betoffice.csv,0.93,0.98,0.75,0.8,0.89,1.02,0.64,0.88,0.9,0.87
bnetd.csv,1.0,0.91,0.91,0.76,0.7,0.79,1.0,0.37,1.0,0.93
graphmak.csv,0.94,0.32,0.45,0.72,0.73,0.74,0.76,1.01,0.78,0.58
hazelcast.csv,0.5,0.83,0.48,0.68,0.69,0.05,0.68,0.64,0.72,0.53
megasquirtavr.csv,1.0,0.94,0.42,0.76,0.88,1.0,0.85,1.0,1.0,0.9
pdfedit.csv,0.51,0.78,0.59,0.39,0.7,0.94,0.82,0.5,0.57,0.85
stajistics.csv,1.01,0.79,0.95,0.9,0.98,0.28,0.64,0.86,0.57,0.42
twostep.csv,0.38,0.68,0.52,0.64,0.74,0.31,0.83,0.6,0.26,0.75
xharbour.csv,0.24,0.77,0.54,0.55,0.67,0.45,0.84,0.65,0.46,0.64
