,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,array4j.csv
array4j.csv,0.38,0.19,0.15,0.39,0.38,0.32,0.32,0.27,0.42,0.36,0.45,0.16,0.41,0.24,
e-bio-flow.csv,0.29,0.22,0.34,0.22,0.15,0.16,,0.29,0.38,0.24,0.41,0.37,0.41,0.14,0.28
emono.csv,0.42,0.36,0.41,0.45,0.38,0.35,0.39,0.4,0.48,0.35,0.38,0.42,,0.36,0.39
jas.csv,0.16,0.35,0.16,0.19,0.16,0.21,0.16,0.17,0.48,0.18,0.22,,0.2,0.32,0.15
jbpm.csv,0.42,0.35,,0.43,0.38,0.34,0.33,0.4,0.27,0.37,0.45,0.4,0.43,0.36,0.3
jgossipforum.csv,0.14,0.34,0.36,0.4,0.24,0.31,0.17,,0.38,0.21,0.13,0.37,0.22,0.33,0.2
jmonkeyengine.csv,0.28,0.18,0.24,0.34,0.26,,0.24,0.21,0.31,0.33,0.23,0.24,0.33,0.23,0.33
joustsim.csv,0.23,0.23,0.16,0.13,0.27,0.18,0.15,0.24,,0.2,0.24,0.33,0.2,0.27,0.13
log4net.csv,0.4,0.36,0.4,,0.35,0.35,0.39,0.4,0.44,0.37,0.45,0.42,0.43,0.36,0.39
ngl.csv,0.31,0.32,0.38,0.39,0.35,0.21,0.26,0.34,0.15,0.34,,0.3,0.34,0.33,0.32
piccolo2d.csv,0.34,,0.32,0.43,0.35,0.31,0.34,0.39,0.32,0.37,0.44,0.38,0.43,0.23,0.33
pustefix.csv,0.31,0.16,0.15,0.14,,0.18,0.21,0.36,0.44,0.24,0.28,0.22,0.28,0.24,0.34
reaper3d.csv,0.2,0.36,0.4,0.43,0.36,0.35,0.38,0.36,0.48,,0.44,0.42,0.43,0.36,0.3
sblim.csv,,0.16,0.14,0.22,0.19,0.31,0.2,0.12,0.24,0.33,0.24,0.29,0.35,0.17,0.14
thedata.csv,0.34,0.34,0.38,0.31,0.27,0.22,0.34,0.33,0.23,0.23,0.2,0.27,0.22,,0.35
